"Ticket created - Year","Ticket created - Month","Created","Solved tickets"
"2018","January","","0"
"2018","February","","0"
"2018","March","","0"
"2018","April","","1"
"2018","May","","0"
"2018","June","3","9"
"2018","July","","2"
"2018","August","","20"
"2018","September","","10"
"2018","October","1714","1962"
"2018","November","4985","6028"
"2018","December","4786","5580"
"2019","January","4755","5685"
"2019","February","14463","15199"
"2019","March","13305","14841"
"2019","April","5023","6960"
"2019","May","5158","7076"
"2019","June","5127","6889"
"2019","July","5214","7130"
"2019","August","4756","6382"
"2019","September","4851","6915"
"2019","October","4903","6928"
"2019","November","4038","5908"
"2019","December","4641","6361"
"2020","January","4232","6425"
"2020","February","3943","6129"
"2020","March","3960","6354"
"2020","April","2985","4873"
"2020","May","3037","4965"
"2020","June","3404","5914"
"2020","July","3115","5578"
"2020","August","3177","6325"
"2020","September","3788","8642"
"2020","October","3166","7448"
"2020","November","3642","10499"
"2020","December","5019","13375"
"2021","January","3608","9321"
"2021","February","3749","9146"
"2021","March","4580","11432"
"2021","April","3743","8221"
"2021","May","3255","6982"
"2021","June","4119","10129"
"2021","July","4472","11103"
"2021","August","4895","10997"
"2021","September","6037","12946"
"2021","October","5687","11455"
"2021","November","5880","12622"
"2021","December","6416","13668"
"2022","January","4854","9802"
"2022","February","4406","9023"
"2022","March","5224","10459"
"2022","April","4215","7621"
"2022","May","","0"
"2022","June","","0"
"2022","July","","0"
"2022","August","","0"
"2022","September","","0"
"2022","October","","0"
"2022","November","","0"
"2022","December","","0"